Cf,N_features,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
0.563877551,33,400,0.710510254,0.054273864,19.7516566,65.36617244
0,33,400,0.710510254,0.054273864,19.76097172,65.36625779
0.187959184,33,400,0.710510254,0.054273864,19.76061963,65.36625779
0.375918367,33,400,0.710510254,0.054273864,19.75817449,65.36625779
1.503673469,35,600,0.711900364,0.055163484,19.49954268,65.36722463
2.06755102,36,900,0.716840125,0.056184871,18.95219491,65.36895858
1.879591837,27,500,0.711874038,0.055920042,19.369521,65.36974718
2.06755102,40,1000,0.719709797,0.056765804,18.7605081,65.37535574
1.691632653,35,600,0.711900364,0.055163484,19.4395039,65.37590325
3.007346939,40,600,0.709852783,0.064463997,18.9511421,65.37709911
1.127755102,35,900,0.71564556,0.054065639,19.3372999,65.37851541
0.939795918,35,900,0.71564556,0.054065639,19.36738021,65.37975862
0.751836735,35,900,0.71564556,0.054065639,19.38707012,65.38035284
0.563877551,35,900,0.71564556,0.054065639,19.40082904,65.38059459
0,35,900,0.71564556,0.054065639,19.4104286,65.38064983
0.187959184,35,900,0.71564556,0.054065639,19.41012248,65.38064983
0.375918367,35,900,0.71564556,0.054065639,19.40756468,65.38064983
1.127755102,40,500,0.718426532,0.054407345,19.14844543,65.38108786
0,39,700,0.715018825,0.054054465,19.45321045,65.38142213
0.187959184,39,700,0.715018825,0.054054465,19.45290945,65.38142213
0.375918367,39,700,0.715018825,0.054054465,19.45036247,65.38142213
0.563877551,39,700,0.715018825,0.054054465,19.44279237,65.38142213
0.751836735,39,700,0.715018825,0.054054465,19.42835361,65.38142213
2.06755102,40,300,0.717477488,0.056978387,18.91266502,65.38153848
1.691632653,37,200,0.713164559,0.054969131,19.35819387,65.38348145
0.939795918,37,400,0.714594968,0.054018474,19.43775447,65.38357755
0.563877551,37,400,0.714594968,0.054018474,19.47204947,65.38375083
0.751836735,37,400,0.714594968,0.054018474,19.45888607,65.38375083
0,37,400,0.714594968,0.054018474,19.48214352,65.38390971
0.187959184,37,400,0.714594968,0.054018474,19.48180425,65.38390971
0.375918367,37,400,0.714594968,0.054018474,19.4793635,65.38390971
1.691632653,40,900,0.711173481,0.055498336,19.49808537,65.38403141
1.879591837,32,900,0.714176669,0.056371007,19.21834085,65.38481927
2.255510204,38,500,0.716040432,0.057852752,18.93567966,65.38622753
0.939795918,39,700,0.715018825,0.054054465,19.40906661,65.38786799
2.255510204,27,1000,0.71785976,0.055530568,18.77681446,65.38800675
1.315714286,40,500,0.718426532,0.054407345,19.10878535,65.38823743
2.06755102,37,900,0.714910728,0.056393645,19.08900078,65.3884726
1.879591837,37,900,0.714910728,0.056393645,19.1667435,65.38998931
1.503673469,35,900,0.71564556,0.054065639,19.24423875,65.3909066
1.691632653,35,1000,0.719886392,0.055450023,18.89551757,65.39105677
