N_features,Depth,Learning_rate,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
38,6,0.1,700,-1.750698715,-1.795043742,11.03464139,11.30402318
24,6,0.1,1000,-1.740244585,-1.795245756,10.99270384,11.30484019
30,7,0.1,400,-1.740036763,-1.795790605,10.99187015,11.30704373
37,6,0.1,700,-1.741831604,-1.797168402,10.99907029,11.31261596
33,6,0.1,800,-1.743407314,-1.797885291,11.00539137,11.31551528
16,7,0.1,800,-1.724037378,-1.798209635,10.92768737,11.31682704
32,7,0.1,400,-1.753502318,-1.799045544,11.04588826,11.32020771
33,6,0.1,700,-1.747979489,-1.799420511,11.023733,11.32172419
29,6,0.1,800,-1.750325066,-1.799989234,11.03314247,11.32402428
34,6,0.1,700,-1.748203477,-1.800483207,11.02463155,11.32602206
14,7,0.1,900,-1.729294089,-1.801062316,10.94877507,11.32836416
31,6,0.1,900,-1.745119108,-1.801230599,11.01225836,11.32904475
34,7,0.1,400,-1.743655585,-1.801765506,11.00638733,11.33120808
13,7,0.1,900,-1.729428714,-1.802020248,10.94931513,11.33223833
32,6,0.1,800,-1.757332861,-1.803838073,11.06125478,11.33959018
19,7,0.1,600,-1.743920157,-1.804473642,11.00744868,11.34216062
16,7,0.1,700,-1.74439644,-1.805239333,11.00935933,11.34525731
39,6,0.1,700,-1.748182865,-1.805267502,11.02454886,11.34537124
21,7,0.1,500,-1.758017109,-1.805894247,11.0639997,11.34790599
32,6,0.1,700,-1.748911043,-1.806540933,11.02747001,11.35052139
38,6,0.1,600,-1.763142318,-1.808872633,11.08455987,11.3599515
30,6,0.1,800,-1.747736072,-1.80892659,11.02275652,11.36016972
28,6,0.1,800,-1.754839126,-1.812329529,11.05125097,11.37393226
23,6,0.1,1000,-1.746552658,-1.813904141,11.01800916,11.38030048
33,7,0.1,400,-1.757360929,-1.815471541,11.06136738,11.38663953
23,6,0.1,900,-1.761446743,-1.816598497,11.07775794,11.39119729
25,7,0.1,500,-1.751313669,-1.819217575,11.03710833,11.40178965
34,7,0.1,300,-1.783573352,-1.819872363,11.16652055,11.40443782
37,7,0.1,300,-1.789246531,-1.820947858,11.18927895,11.40878746
40,7,0.1,300,-1.78318108,-1.821387263,11.16494692,11.41056454
18,7,0.1,600,-1.761627493,-1.822826794,11.07848303,11.41638646
12,7,0.1,900,-1.749780852,-1.823101149,11.03095931,11.41749603
21,6,0.1,1000,-1.770197075,-1.824362109,11.11286058,11.42259574
12,7,0.1,1000,-1.756359643,-1.826159634,11.05735065,11.42986549
31,6,0.1,700,-1.778340247,-1.826207146,11.14552754,11.43005764
24,7,0.1,500,-1.764738868,-1.826901191,11.09096456,11.43286458
24,6,0.1,900,-1.781958291,-1.828445362,11.16004161,11.43910968
35,6,0.1,700,-1.777431632,-1.828462005,11.14188256,11.439177
13,7,0.1,800,-1.762574305,-1.831401992,11.08228124,11.45106721
19,6,0.1,1000,-1.776794443,-1.832421782,11.13932643,11.45519156
22,7,0.1,500,-1.788416687,-1.832568883,11.18594996,11.45578648
35,6,0.1,600,-1.791268593,-1.833454072,11.19739061,11.45936646
14,7,0.1,800,-1.783900124,-1.834970288,11.16783142,11.46549851
36,6,0.1,600,-1.790905704,-1.835262498,11.19593485,11.4666803
38,7,0.1,300,-1.792966677,-1.836131111,11.2042026,11.47019324
26,7,0.1,400,-1.782006967,-1.836846734,11.16023688,11.47308744
15,7,0.1,700,-1.767443638,-1.837693071,11.10181495,11.47651029
20,6,0.1,1000,-1.785559721,-1.837920242,11.17448902,11.47742904
25,7,0.1,400,-1.787848962,-1.838869465,11.18367249,11.48126799
29,6,0.1,700,-1.795764958,-1.839714717,11.21542812,11.48468645
17,7,0.1,600,-1.781328531,-1.842791085,11.15751528,11.49712824
39,7,0.1,300,-1.795855305,-1.843067638,11.21579056,11.4982467
39,6,0.1,600,-1.795485691,-1.844440916,11.21430782,11.50380066
28,7,0.1,400,-1.785102036,-1.844542879,11.17265299,11.50421303
27,6,0.1,800,-1.793358389,-1.845874258,11.20577398,11.50959754
27,7,0.1,400,-1.790830495,-1.848437567,11.19563314,11.51996436
28,6,0.1,700,-1.809980067,-1.850241534,11.27245314,11.52726016
40,6,0.1,600,-1.796062537,-1.851101091,11.21662188,11.53073647
11,7,0.1,1000,-1.777931446,-1.85177625,11.14388761,11.53346703
26,6,0.1,800,-1.801555561,-1.852469575,11.23865758,11.53627105
37,6,0.1,600,-1.81461818,-1.853390283,11.29105929,11.53999468
22,6,0.1,900,-1.791610301,-1.854031356,11.1987614,11.54258737
33,6,0.1,600,-1.811370513,-1.854269149,11.27803102,11.54354908
35,7,0.1,300,-1.817255963,-1.855258446,11.30164096,11.54755011
25,6,0.1,800,-1.806863988,-1.85700356,11.25995275,11.55460789
25,6,0.1,900,-1.794923202,-1.858014339,11.21205135,11.55869579
34,6,0.1,600,-1.819743386,-1.858525766,11.31161945,11.56076416
16,7,0.1,600,-1.811277973,-1.859593638,11.27765979,11.56508297
20,7,0.1,500,-1.80771283,-1.860733844,11.26335794,11.56969431
29,6,0.1,600,-1.813498414,-1.861147891,11.28656726,11.57136885
27,6,0.1,600,-1.831191216,-1.862183112,11.35754331,11.5755556
36,7,0.1,300,-1.824050462,-1.863216883,11.32889762,11.57973649
30,6,0.1,700,-1.819721302,-1.863508535,11.31153086,11.58091603
10,7,0.1,1000,-1.803321124,-1.864511354,11.24574027,11.58497174
19,6,0.1,900,-1.821785525,-1.864573572,11.31981165,11.58522336
18,6,0.1,900,-1.830484905,-1.865794666,11.35470989,11.59016184
32,7,0.1,300,-1.834709756,-1.868572776,11.3716582,11.60139738
14,7,0.1,700,-1.802827268,-1.8693593,11.24375913,11.60457833
